timestamp,url,status,elapsed_ms,len_bytes,error
2025-09-24T23:16:10.434805,http://34.172.200.207:3001/get_json/edcgcca,200,1253.59,54129,
2025-09-24T23:16:10.435350,http://34.172.200.207:3001/get_json/edcgcbj,200,1253.167,53720,
2025-09-24T23:16:10.437894,http://34.172.200.207:3001/get_json/edcgcca,200,1250.669,54129,
2025-09-24T23:16:10.432531,http://34.172.200.207:3001/get_json/edcgcbi,200,1357.661,58514,
2025-09-24T23:16:10.435064,http://34.172.200.207:3001/get_json/edcgcca,200,1375.384,54129,
2025-09-24T23:16:10.433578,http://34.172.200.207:3001/get_json/edcgcbi,200,1383.427,58514,
2025-09-24T23:16:10.434120,http://34.172.200.207:3001/get_json/edcgcbi,200,1382.944,58514,
2025-09-24T23:16:10.437455,http://34.172.200.207:3001/get_json/promedios_2025,200,1500.758,29726,
2025-09-24T23:16:10.439593,http://34.172.200.207:3001/get_json/edcgcbi,200,1503.544,58514,
2025-09-24T23:16:10.440101,http://34.172.200.207:3001/get_json/fecha_6,200,1508.223,24259,
2025-09-24T23:16:10.439185,http://34.172.200.207:3001/get_json/fecha_6,200,1509.397,24259,
2025-09-24T23:16:10.447910,http://34.172.200.207:3001/get_json/anual,200,1500.804,32821,
2025-09-24T23:16:10.430177,http://34.172.200.207:3001/get_json/fecha_5,200,1603.254,26641,
2025-09-24T23:16:10.445900,http://34.172.200.207:3001/get_json/fecha_2,200,1593.735,24593,
2025-09-24T23:16:10.433985,http://34.172.200.207:3001/get_json/fecha_3,200,1610.902,20735,
2025-09-24T23:16:10.431996,http://34.172.200.207:3001/get_json/fecha_6,200,1613.144,24259,
2025-09-24T23:16:10.446457,http://34.172.200.207:3001/get_json/fecha_2,200,1717.151,24593,
2025-09-24T23:16:10.503299,http://34.172.200.207:3001/get_json/promedios_2025,200,1834.678,29726,
2025-09-24T23:16:10.436539,http://34.172.200.207:3001/get_json/fecha_6,200,2223.703,24259,
2025-09-24T23:16:10.618979,http://34.172.200.207:3001/get_json/promedios_2025,200,2213.486,29726,
2025-09-24T23:16:10.621137,http://34.172.200.207:3001/get_json/fecha_6,200,2456.118,24259,
2025-09-24T23:16:10.618719,http://34.172.200.207:3001/get_json/fecha_5,200,2459.099,26641,
2025-09-24T23:16:10.620879,http://34.172.200.207:3001/get_json/edcgcbj,200,2571.123,53720,
2025-09-24T23:16:10.432384,http://34.172.200.207:3001/get_json/edcgcbi,200,2862.305,58514,
2025-09-24T23:16:10.659827,http://34.172.200.207:3001/get_json/edcgcbj,200,2651.9,53720,
2025-09-24T23:16:10.541801,http://34.172.200.207:3001/get_json/fecha_3,200,3437.496,20735,
